states,year,quarter,brand,user_counts,percentage
Andhra Pradesh,2021,4,Samsung,4017419,0.178639
Andhra Pradesh,2021,4,Oppo,2580845,0.11476
Andhra Pradesh,2021,4,Realme,2528884,0.11245
Andhra Pradesh,2021,4,Apple,544986,0.024233
Andhra Pradesh,2021,4,OnePlus,525373,0.023361
Andhra Pradesh,2021,4,Motorola,474422,0.021096
Andhra Pradesh,2021,4,Huawei,409934,0.018228
Andhra Pradesh,2021,4,Lenovo,224391,0.009978
Andhra Pradesh,2021,4,Others,1283514,0.057073
Andhra Pradesh,2022,1,Xiaomi,5743382,0.240732
Andhra Pradesh,2022,1,Vivo,4772765,0.200049
Andhra Pradesh,2022,1,Samsung,4124296,0.172869
Andhra Pradesh,2022,1,Realme,2864092,0.120048
Andhra Pradesh,2022,1,Oppo,2780974,0.116564
Andhra Pradesh,2022,1,Apple,594003,0.024897
Andhra Pradesh,2022,1,OnePlus,580737,0.024341
Andhra Pradesh,2022,1,Motorola,463652,0.019434
Andhra Pradesh,2022,1,Huawei,401477,0.016828
Andhra Pradesh,2022,1,Lenovo,222586,0.00933
Andhra Pradesh,2022,1,Others,1309987,0.054908
Arunachal Pradesh,2018,1,Xiaomi,5212,0.242475
Arunachal Pradesh,2018,1,Samsung,4354,0.202559
Arunachal Pradesh,2018,1,Vivo,3523,0.163899
Arunachal Pradesh,2018,1,Oppo,2608,0.121331
Arunachal Pradesh,2018,1,Realme,1297,0.06034
Arunachal Pradesh,2018,1,Apple,628,0.029216
Arunachal Pradesh,2018,1,Gionee,563,0.026192
Arunachal Pradesh,2018,1,Lenovo,420,0.019539
Arunachal Pradesh,2018,1,OnePlus,403,0.018749
Arunachal Pradesh,2018,1,Motorola,343,0.015957
Arunachal Pradesh,2018,1,Others,2144,0.099744
Arunachal Pradesh,2018,2,Xiaomi,8058,0.245051
Arunachal Pradesh,2018,2,Samsung,6633,0.201715
Arunachal Pradesh,2018,2,Vivo,5591,0.170027
Arunachal Pradesh,2018,2,Oppo,4204,0.127847
Arunachal Pradesh,2018,2,Realme,1943,0.059088
Arunachal Pradesh,2018,2,Apple,869,0.026427
Arunachal Pradesh,2018,2,Gionee,730,0.0222
Arunachal Pradesh,2018,2,Lenovo,581,0.017669
Arunachal Pradesh,2018,2,OnePlus,554,0.016848
Arunachal Pradesh,2018,2,Motorola,514,0.015631
Arunachal Pradesh,2018,2,Others,3206,0.097497
