states,year,quarter,district,trans_counts,amount
Assam,2021,2,Hojai District,285880,717552682.84
Assam,2021,2,Marigaon District,452067,1213004303.88
Assam,2021,2,Chirang District,173228,416705187.85
Assam,2021,2,Cachar District,743120,1680050955.98
Assam,2021,2,Nalbari District,265787,614926960.41
Assam,2021,2,West Karbi Anglong District,51169,93322156.33
Assam,2021,2,Dhemaji District,299375,707439590.85
Assam,2021,2,Karimganj District,376322,1008636324.56
Assam,2021,2,Bongaigaon District,445957,1107075859.5
Assam,2021,2,Dima Hasao District,127333,291445306.01
Assam,2021,2,Baksa District,333425,874733682.78
Assam,2021,2,Charaideo District,169721,406368639.27
Assam,2021,2,Darrang District,373027,991719331.06
Assam,2021,2,Kamrup Metropolitan District,12113618,26948905679.33
Assam,2021,2,Hailakandi District,258553,622102715.35
Assam,2021,2,Barpeta District,1094358,2927546915.44
Assam,2021,2,Goalpara District,544911,1475602701.25
Assam,2021,2,Biswanath District,255222,546335899.89
Assam,2021,2,Jorhat District,448050,911359043.24
Assam,2021,3,Tinsukia District,726497,1620117007.21
Assam,2021,3,Lakhimpur District,433255,930738036.16
Assam,2021,3,Kamrup District,957373,2112276358.42
Assam,2021,3,Kokrajhar District,366661,966061545.14
Assam,2021,3,Karbi Anglong District,338533,828250761.68
Assam,2021,3,Sivasagar District,350815,733449637.27
Assam,2021,3,Dibrugarh District,1116075,2517711536.28
Assam,2021,3,South Salmara Mancachar District,245208,682772092.13
Assam,2021,3,Nagaon District,1156024,2903215135.78
Assam,2021,3,Dhubri District,668723,1682447560.54
Assam,2021,3,Golaghat District,446587,965096814.54
Assam,2021,3,Udalguri District,291168,657660643.92
Assam,2021,3,Majuli District,51208,102034225.95
Assam,2021,3,Sonitpur District,1030160,2385666128.44
Assam,2021,3,Hojai District,368350,874185464.73
Assam,2021,3,Marigaon District,554657,1470486045.68
Assam,2021,3,Chirang District,220676,528538770.57
Assam,2021,3,Cachar District,998685,2285248942.88
Assam,2021,3,Nalbari District,318284,722110352.78
Assam,2021,3,West Karbi Anglong District,57137,112522665.54
Assam,2021,3,Dhemaji District,359737,848544237.45
Assam,2021,3,Karimganj District,524239,1393649226.03
Assam,2021,3,Bongaigaon District,548175,1331228200.28
Assam,2021,3,Dima Hasao District,149975,353350846.59
Assam,2021,3,Baksa District,418859,1074324607.68
Assam,2021,3,Charaideo District,201059,479392451.0
Assam,2021,3,Darrang District,498938,1241235475.75
Assam,2021,3,Kamrup Metropolitan District,16840668,36123082534.66
Assam,2021,3,Hailakandi District,360281,801449299.07
Assam,2021,3,Barpeta District,1436928,3522432994.68
Assam,2021,3,Goalpara District,650085,1747257315.99
Assam,2021,3,Biswanath District,288131,620203649.37
Assam,2021,3,Jorhat District,531290,1083758709.11
Assam,2021,4,Tinsukia District,924326,2099664801.03
Assam,2021,4,Lakhimpur District,560279,1263722648.48
Assam,2021,4,Kamrup District,1326629,2906827875.98
Assam,2021,4,Kokrajhar District,529425,1392051533.96
Assam,2021,4,Karbi Anglong District,448701,1157896438.24
Assam,2021,4,Sivasagar District,452511,991840783.0
Assam,2021,4,Dibrugarh District,1489321,3247229901.08
Assam,2021,4,South Salmara Mancachar District,314595,919174483.77
Assam,2021,4,Nagaon District,1599255,4181552742.9
Assam,2021,4,Dhubri District,947815,2452971274.53
Assam,2021,4,Golaghat District,597064,1337575801.95
Assam,2021,4,Udalguri District,406086,917680978.06
Assam,2021,4,Majuli District,65312,129028300.43
Assam,2021,4,Sonitpur District,1437714,3119948215.77
Assam,2021,4,Hojai District,527676,1247022294.1
Assam,2021,4,Marigaon District,846244,2372441369.99
Assam,2021,4,Chirang District,298090,751602013.91
Assam,2021,4,Cachar District,1424029,3288405319.03
Assam,2021,4,Nalbari District,437199,1015183561.0
Assam,2021,4,West Karbi Anglong District,72436,155335117.46
Assam,2021,4,Dhemaji District,450526,1098025411.04
Assam,2021,4,Karimganj District,719693,2011084236.74
Assam,2021,4,Bongaigaon District,760610,1900609318.31
Assam,2021,4,Dima Hasao District,188499,461001023.11
Assam,2021,4,Baksa District,575080,1530357403.56
Assam,2021,4,Charaideo District,255415,657528333.42
Assam,2021,4,Darrang District,772608,2012722511.55
Assam,2021,4,Kamrup Metropolitan District,22903930,48177919267.37
Assam,2021,4,Hailakandi District,494043,1131182051.51
Assam,2021,4,Barpeta District,2145496,5341626359.64
Assam,2021,4,Goalpara District,920783,2590433257.9
Assam,2021,4,Biswanath District,368466,837297984.14
Assam,2021,4,Jorhat District,760505,1488025280.26
Assam,2022,1,Tinsukia District,1110108,2471991459.74
Assam,2022,1,Lakhimpur District,725851,1653871930.75
Assam,2022,1,Kamrup District,1708845,3838019247.42
Assam,2022,1,Kokrajhar District,703834,1794915585.47
Assam,2022,1,Karbi Anglong District,576671,1480533626.53
Assam,2022,1,Sivasagar District,570136,1201010320.39
Assam,2022,1,Dibrugarh District,1830668,3721424814.96
Assam,2022,1,South Salmara Mancachar District,424292,1357660615.54
Assam,2022,1,Nagaon District,2049272,5405490459.95
Assam,2022,1,Dhubri District,1247298,3380205337.13
Assam,2022,1,Golaghat District,753488,1681747448.41
Assam,2022,1,Udalguri District,547716,1168300625.43
Assam,2022,1,Majuli District,89346,172837394.19
Assam,2022,1,Sonitpur District,1805856,3651941482.3
Assam,2022,1,Hojai District,665166,1595056089.15
Assam,2022,1,Marigaon District,1027786,2790138101.72
Assam,2022,1,Chirang District,363645,951303010.31
Assam,2022,1,Cachar District,1869862,4225305321.29
Assam,2022,1,Nalbari District,571467,1369285179.17
Assam,2022,1,West Karbi Anglong District,88219,186901516.61
Assam,2022,1,Dhemaji District,562489,1369239048.85
Assam,2022,1,Karimganj District,962907,2759677605.07
Assam,2022,1,Bongaigaon District,1014501,2661981437.25
Assam,2022,1,Dima Hasao District,216314,509944077.1
Assam,2022,1,Baksa District,731895,1944006764.85
Assam,2022,1,Charaideo District,311136,742058516.31
Assam,2022,1,Darrang District,1205741,2732173374.69
