states,year,quarter,trans_type,trans_counts,amount
Bihar,2018,4,Financial Services,237247,36199427.51
Bihar,2018,4,Others,251098,302214380.18
Bihar,2019,1,Peer-to-peer payments,16807040,38824078062.32
Bihar,2019,1,Recharge & bill payments,7036367,1333688182.54
Bihar,2019,1,Merchant payments,2055267,1024996999.53
Bihar,2019,1,Financial Services,204689,28599535.73
Bihar,2019,1,Others,252871,291464734.4
Bihar,2019,2,Peer-to-peer payments,15837449,58381285240.81
Bihar,2019,2,Recharge & bill payments,9279442,1996804238.27
Bihar,2019,2,Merchant payments,4365465,2308145849.84
Bihar,2019,2,Financial Services,129603,63338108.54
Bihar,2019,2,Others,348520,382864846.08
Bihar,2019,3,Peer-to-peer payments,15446119,61831776093.1
Bihar,2019,3,Recharge & bill payments,9115040,2140566974.71
Bihar,2019,3,Merchant payments,7206001,3413490288.31
Bihar,2019,3,Financial Services,89997,20145460.43
Bihar,2019,3,Others,282743,286804437.74
Bihar,2019,4,Peer-to-peer payments,26337842,86340631422.25
Bihar,2019,4,Recharge & bill payments,11358597,2649616529.83
Bihar,2019,4,Merchant payments,5519582,4177574379.04
Bihar,2019,4,Financial Services,100192,18815964.76
Bihar,2019,4,Others,214101,126788281.93
Bihar,2020,1,Peer-to-peer payments,23163922,99873688132.9
Bihar,2020,1,Recharge & bill payments,13837430,3680590624.9
Bihar,2020,1,Merchant payments,7822567,5562692116.57
Bihar,2020,1,Financial Services,57233,23954789.41
Bihar,2020,1,Others,200663,115927863.46
Bihar,2020,2,Peer-to-peer payments,26572651,116244368941.34
